"Latest: Time (s)","Latest: Temperature (°C)"
232,15.7120376629
232.5,15.7029133635
233,15.6998717518
233.5,15.6937882602
234,15.6785779657
234.5,15.6755356382
235,15.6633654315
235.5,15.6451074282
236,15.6329336274
236.5,15.6253242701
237,15.6116260066
237.5,15.6040150701
238,15.602492815
238.5,15.5933588097
239,15.576611017
239.5,15.5598604809
240,15.555291676
240.5,15.5431071957
241,15.5324445804
241.5,15.5217808483
242,15.5111159978
242.5,15.5065450049
243,15.503497562
243.5,15.4943546842
244,15.4867349898
244.5,15.4791147224
245,15.4684453845
245.5,15.4516770077
246,15.4394800759
246.5,15.4349058463
247,15.4333810569
247.5,15.4227068857
248,15.412031583
248.5,15.4059309014
249,15.4013551472
249.5,15.3861011279
250,15.3723705277
250.5,15.363215749
251,15.3586380457
251.5,15.3433775218
252,15.3387989103
252.5,15.3372726598
253,15.3311674245
253.5,15.3220088712
254,15.311322829
254.5,15.3067427457
255,15.2930012313
255.5,15.285366236
256,15.277730654
256.5,15.2655125011
257,15.2517652793
257.5,15.2395439243
258,15.234960527
258.5,15.2242651067
259,15.2166248117
259.5,15.2150966818
260,15.2120403509
260.5,15.1952288373
261,15.181471828
261.5,15.1722994196
262,15.1661840051
262.5,15.1554811132
263,15.1463062766
263.5,15.1447770537
264,15.1417185363
264.5,15.1325424112
265,15.1203062394
265.5,15.1187766103
266,15.1126578546
266.5,15.1019491099
267,15.0927692508
267.5,15.0881789972
268,15.0744069391
268.5,15.0560411635
269,15.0514491775
269.5,15.0453261918
270,15.0422645541
270.5,15.0330790615
271,15.0238926988
271.5,15.0162367312
272,15.0070487708
272.5,14.9963283805
273,14.9810114737
273.5,14.9733521086
274,14.9687561976
274.5,14.9580315527
275,14.9503703607
275.5,14.9442409679
276,14.9319810098
276.5,14.9243177414
277,14.9243177414
277.5,14.9166538611
278,14.912055239
278.5,14.9013242627
279,14.8967249049
279.5,14.8859922103
280,14.8721912613
280.5,14.8599220768
281,14.853786893
281.5,14.8476513143
282,14.8353789715
282.5,14.8277079538
283,14.8261736761
283.5,14.8246393735
284,14.8138985624
284.5,14.8016218624
285,14.7893435738
285.5,14.7801338135
286,14.7770636944
286.5,14.7739934757
287,14.7586408875
287.5,14.7540346248
288,14.7432858049
288.5,14.7340715562
289,14.7294640943
289.5,14.7279282236
290,14.7217844904
290.5,14.7125681391
291,14.7064234035
291.5,14.6987419193
292,14.6864502385
292.5,14.6726201735
293,14.6664728233
293.5,14.6572510416
294,14.6557139897
294.5,14.6526398102
295,14.6434166656
295.5,14.6357300168
296,14.6295802425
296.5,14.6188171629
297,14.6111284886
297.5,14.5988252907
298,14.5895968255
298.5,14.5803674451
299,14.5726755947
299.5,14.566521656
300,14.5588286589
300.5,14.5557512815
301,14.5495962204
301.5,14.5403628624
302,14.5357458383
302.5,14.531128584
